LAT,LONG,Mag_diurnal
16.9446894,79.0429542,42644.106
16.9446458,79.0430502,42643.212
16.944595,79.0431569,42641.265
16.9445485,79.0432656,42636.371
16.9445463,79.0432654,42628.424
16.9445031,79.0433625,42624.477
16.9444747,79.0434361,42611.53
16.9443976,79.0435376,42601.53
16.9443439,79.0436477,42530.288
16.9442803,79.0437387,42376.36
16.9442393,79.0438441,42508.432
16.944201,79.0439481,42429.504
16.9441456,79.0440438,42503.648
16.9440965,79.0441508,42507.648
16.9440531,79.0442575,42505.72
16.9440149,79.0443326,42592.066
16.9439721,79.0444251,42536.198
16.9439359,79.0445576,42569.198
16.9438807,79.0446569,42605
16.9437676,79.0448026,42614.462
16.9437039,79.0448974,42668.528
16.9436494,79.0450135,42648.594
16.9436657,79.0450608,42774.66
16.943598,79.045164,42811.108
16.9435587,79.0452646,42754.108
16.9435176,79.0453619,42730.216
16.9434638,79.0454412,42789.324
16.9434353,79.0455379,42859.324
16.9434021,79.0456344,42823.432
16.9433317,79.045718,42818.54
16.9432994,79.0458141,42791.54
16.943246,79.0458931,42648.093
16.9430112,79.0464833,42769.651
16.9427124,79.0463131,42559.744
16.9427593,79.0461734,42696.837
16.9427875,79.0460719,42694.93
16.9428319,79.045983,42690.99
16.9429013,79.0458617,42694.96
16.9429478,79.0457408,42711.95
16.9430572,79.0455221,42776.93
16.943116,79.0453969,42784.92
16.943169,79.045285,42794.92
16.9432296,79.0451724,42662.91
16.9432724,79.0450787,42503.9
16.9433265,79.0449633,42855.063
16.9433989,79.0448643,42877.126
16.9434422,79.0447945,42869.189
16.9434597,79.0447119,42860.252
16.9436274,79.0444946,42695.504
16.9436857,79.0443885,42686.504
16.9437355,79.0442806,42633.63
16.9437712,79.0441921,42715.63
16.9437998,79.0441096,42697.052
16.9438422,79.0440123,42644.104
16.9438926,79.0439241,42640.104
16.9439317,79.0438193,42598.156
16.9439695,79.0437367,42582.156
16.9440154,79.0436585,42458.208
16.9440532,79.0435556,42511.26
16.9440919,79.0434514,42556.364
16.9441428,79.0433688,42051.416
16.9441759,79.0432835,42413.416
16.9442206,79.0432032,42327.468
16.9442552,79.0430951,42124.52
16.9443156,79.0429971,42057.52
16.9443685,79.0429168,42298.255
16.9444236,79.0428227,42343.34
16.9444776,79.04277,42327.576
16.9442495,79.0425773,42453.288
16.9442021,79.0426825,42637.936
16.9441216,79.0427986,42633.92
16.9440576,79.0429145,42708.92
16.9440167,79.0430333,42674.904
16.9439738,79.0431442,42694.888
16.9439292,79.0432327,42620.888
16.943887,79.0433493,42631.872
16.943846,79.0434522,42739.872
16.9438033,79.0435381,42669.856
16.943748,79.0436744,42740.84
16.9436954,79.0438015,42806.068
16.9436589,79.0438826,42772.136
16.9435844,79.0439994,42770.136
16.9435538,79.0441017,42771.136
16.9434898,79.0441707,42829.204
16.9433971,79.0442606,42870.272
16.9433603,79.0443757,42748.408
16.9433328,79.0444555,42773.95
16.9432917,79.0445524,42781.94
16.9432436,79.0446378,42780.93
16.9432025,79.044716,42786.93
16.9431348,79.0448736,42777.92
16.9430819,79.0449637,42778.91
16.9430082,79.0450637,42778.99
16.9429527,79.0451697,42775.99
16.9428846,79.0452666,42765.064
16.942738,79.0455479,42760.128
16.9427263,79.0456765,42746.192
16.9426719,79.045766,42708.256
16.9426127,79.0458739,42688.384
16.9425505,79.0459336,42695.448
16.9425255,79.046015,42691.512
16.9424679,79.0461622,42687.512
16.9422304,79.0460738,42668.576
16.9422641,79.0459594,42681.64
16.9422947,79.0458587,42684.017
16.9423403,79.0457621,42687.034
16.942377,79.0456669,42699.051
16.9425715,79.0454728,42858.102
16.9425841,79.0453744,42757.153
16.9427541,79.0451258,42715.17
16.9427703,79.0449934,42722.17
16.9428328,79.0449123,42750.238
16.9428906,79.0448278,42757.357
16.9429392,79.0447288,42747.476
16.9430105,79.0446175,42740.595
16.9430336,79.0445015,42752.714
16.9430767,79.0443839,42759.833
16.9431294,79.0442942,42761.952
16.9431699,79.0441991,42765.071
16.9432308,79.0440547,42760.071
16.9432846,79.0439372,42756.071
16.9433325,79.0438304,42758.19
16.9433904,79.0437511,42762.19
16.9434621,79.0436204,42750.144
16.9435019,79.0434999,42742.144
16.943564,79.0433781,42731.288
16.9436222,79.0432563,42214.1244
16.9436748,79.0431398,42457.576
16.943713,79.0430307,42524.72
16.9437722,79.0429329,42832.864
16.9438239,79.0428389,42702.008
16.9438673,79.0427422,42782.152
16.943901,79.0426324,42145.296
16.9439524,79.0425271,42808.44
16.9440323,79.042372,42508.432
16.9440701,79.0422827,42429.072
16.9441239,79.0422085,42861.894
16.9441791,79.0421098,42001.192
16.9442145,79.042031,42044.138
16.9442752,79.0419233,42430
16.9443286,79.0417771,42482.207
16.944153,79.0416273,42432.276
16.944044,79.0417467,42642.483
16.9439873,79.0418701,42771.552
16.9439369,79.0419906,42776.552
16.9438591,79.0421154,42785.621
16.9438054,79.042205,42789.69
16.9437407,79.0423411,42792.69
16.943695,79.0424224,42787.139
16.9436436,79.0425499,42782.139
16.9435808,79.042683,42772.278
16.9435399,79.0428005,42775.417
16.9434818,79.04293,42791.417
16.943421,79.0430272,42729.556
16.9433597,79.0431505,42776.695
16.943315,79.0432528,42976.834
16.9432303,79.0433998,42841.973
16.9431867,79.0435205,42323.973
16.9431286,79.0436784,42709.112
16.9430871,79.0437832,42727.112
16.9430322,79.0439119,42729.251
16.9429751,79.0440068,42725.39
16.9428678,79.0441195,42735.059
16.9428655,79.0441239,42716.118
16.9428641,79.0442229,42731.177
16.9428107,79.0443072,42751.236
16.9427583,79.0444117,42675.295
16.9426909,79.0444921,42737.354
16.9426241,79.0445857,42729.354
16.9425486,79.0446996,42713.413
16.9425044,79.0448031,42618.472
16.9423447,79.0453523,42641.472
16.9422823,79.0454594,42519.59
16.9423912,79.0452172,42134.53
Data Column
Band,Minimum,Maximum,Mean,Std Dev,Median,Median Abs Dev,No Samples,No cols (samples in x-dir),No rows (samples in y-dir),Skewness,Kurtosis
Calculated Gravity (mGal),0.0,0.0,0.0,0.0,0.0,0.0,2000.0,50.0,40.0,0.0,-3.0
Calculated Magnetics (nT),0.0,0.0,0.0,0.0,0.0,0.0,2000.0,50.0,40.0,0.0,-3.0

