Latidude,Longitude,MAG_DIUR
16.918469,79.087103,42908.098000
16.918391,79.087049,42819.098000
16.918303,79.087012,42812.281000
16.918240,79.086911,42727.464000
16.918182,79.086847,42905.464000
16.918123,79.086806,42557.647000
16.918072,79.086777,42902.386000
16.918012,79.086683,42974.772000
16.917931,79.086624,42891.772000
16.917849,79.086546,42911.158000
16.917790,79.086493,42843.544000
16.917726,79.086426,42935.930000
16.917661,79.086365,42824.930000
16.917584,79.086304,42824.930000
16.917547,79.086218,42722.316000
16.917501,79.086134,42290.573000
16.917403,79.086052,42769.764000
16.917376,79.085965,42738.764000
16.917260,79.085948,42785.955000
16.917191,79.085905,42682.146000
16.917105,79.085880,42781.146000
16.917032,79.085829,42735.337000
16.916953,79.085766,42650.337000
16.916887,79.085705,42683.528000
16.916827,79.085648,42648.719000
16.916773,79.085597,42540.910000
16.916716,79.085531,42738.959000
16.916654,79.085496,42680.959000
16.916580,79.085444,42766.918000
16.916533,79.085372,42582.877000
16.916440,79.085292,42595.795000
16.916396,79.085231,42661.754000
16.916150,79.085026,42634.214000
16.916023,79.085349,42688.428000
16.916065,79.085411,42752.428000
16.916137,79.085478,42738.642000
16.916207,79.085526,42597.856000
16.916264,79.085580,42696.856000
16.916321,79.085664,42655.070000
16.916434,79.085736,42557.284000
16.916556,79.085867,42508.351000
16.916610,79.085911,42661.351000
16.916653,79.085971,42798.702000
16.916711,79.086002,42772.702000
16.916771,79.086061,42680.053000
16.916835,79.086118,42710.404000
16.916889,79.086174,42876.404000
16.916950,79.086219,42983.755000
16.916991,79.086291,42933.159000
16.917084,79.086335,42819.159000
16.917154,79.086378,42695.510000
16.917212,79.086449,42644.269000
16.917289,79.086514,42556.269000
16.917367,79.086589,42820.538000
16.917420,79.086628,42859.538000
16.917496,79.086684,42845.807000
16.917597,79.086761,42841.807000
16.917661,79.086815,42765.076000
16.917730,79.086870,42838.345000
16.917782,79.086935,42830.345000
16.917880,79.087020,42835.614000
16.917934,79.087060,42843.614000
16.918071,79.087185,42842.883000
16.918163,79.087235,42836.883000
16.918125,79.087705,42836.392000
16.918052,79.087613,42828.691000
16.917981,79.087547,42823.691000
16.917922,79.087492,42817.990000
16.917855,79.087464,42816.140000
16.917770,79.087412,42810.140000
16.917699,79.087373,42918.280000
16.917608,79.087335,42784.280000
16.917520,79.087255,42711.420000
16.917474,79.087180,42758.420000
16.917427,79.087119,42729.560000
16.917375,79.087051,42533.560000
16.917292,79.086973,42340.700000
16.917230,79.086913,42616.840000
16.917172,79.086861,42729.840000
16.917130,79.086815,42794.400000
16.917080,79.086764,42483.500000
16.917019,79.086706,42802.250000
16.916977,79.086647,42934.250000
16.916939,79.086599,42837.000000
16.916878,79.086545,42867.750000
16.916854,79.086452,42853.500000
16.916743,79.086414,42851.250000
16.916666,79.086343,42846.250000
16.916589,79.086311,42837.750000
16.916517,79.086295,42835.500000
16.916408,79.086219,42838.500000
16.916356,79.086176,42846.604000
16.916242,79.086102,42855.604000
16.916191,79.086035,42863.208000
16.916108,79.085925,42848.812000
16.916037,79.085843,42844.416000
16.915877,79.085683,42836.832000
16.915784,79.086190,42834.436000
16.915851,79.086275,42840.436000
16.915955,79.086395,42840.040000
16.916073,79.086456,42853.328000
16.916142,79.086544,42870.656000
16.916219,79.086606,42881.656000
16.916276,79.086662,42898.984000
16.916340,79.086756,42907.312000
16.916397,79.086802,42932.640000
16.916451,79.086878,42984.952000
16.916568,79.086967,42851.952000
16.916675,79.087008,42639.952000
16.916763,79.087071,42619.280000
16.916848,79.087101,42475.297000
16.916921,79.087139,42307.594000
16.916996,79.087194,42578.594000
16.917061,79.087258,42554.891000
16.917137,79.087298,42595.188000
16.917213,79.087355,42691.188000
16.917295,79.087452,42765.485000
16.917408,79.087486,42847.782000
16.917505,79.087506,42651.782000
16.917581,79.087541,42589.376000
16.917570,79.087725,42831.376000
16.917640,79.087805,42831.673000
16.917690,79.087900,42749.970000
16.917767,79.087969,42740.970000
16.917824,79.088025,42738.598000
16.918064,79.088207,42812.196000
16.918127,79.088267,42750.196000
16.917891,79.088623,42728.382000
16.917802,79.088549,42793.980000
16.917750,79.088479,42784.980000
16.917694,79.088425,42527.725000
16.917646,79.088382,42527.450000
16.917590,79.088321,42460.450000
16.917541,79.088228,42531.900000
16.917490,79.088152,42560.000000
16.917358,79.088116,42039.625000
16.917265,79.088084,42519.350000
16.917187,79.088017,42701.350000
16.917115,79.087949,42547.075000
16.917030,79.087849,42443.800000
16.916952,79.087815,42286.525000
16.916846,79.087734,42467.525000
16.916757,79.087656,42521.250000
16.916709,79.087614,42603.020000
16.916652,79.087575,42481.060000
16.916614,79.087468,42733.060000
16.916541,79.087405,42631.080000
16.916460,79.087324,42730.100000
16.916375,79.087245,42651.120000
16.916289,79.087165,42713.140000
16.916179,79.087076,42886.120000
16.916111,79.087029,42667.140000
16.916022,79.086932,42736.160000
16.915953,79.086870,42644.360000
16.915878,79.086805,42714.180000
16.915815,79.086725,42712.380000
16.915711,79.086643,42775.200000
16.915648,79.086592,42777.200000
16.915573,79.086532,42525.790000
16.915438,79.086989,42207.580000
16.915527,79.087016,42305.580000
16.915599,79.087082,42477.370000
16.915669,79.087135,42730.950000
16.915735,79.087198,42543.950000
16.915790,79.087257,42183.740000
16.915859,79.087312,42565.740000
16.915916,79.087361,42559.530000
16.915909,79.087498,42124.320000
16.915966,79.087611,42293.320000
16.916024,79.087686,42838.110000
16.916092,79.087759,42710.900000
16.916150,79.087845,42778.900000
16.916215,79.087919,42488.736000
16.916295,79.088031,42824.736000
16.916367,79.088122,42290.472000
16.916460,79.088223,42578.208000
16.916572,79.088297,42609.944000
16.916745,79.088343,42595.680000
16.916894,79.088383,42529.416000
16.917024,79.088419,42428.416000
16.917136,79.088471,42577.152000
16.917165,79.088592,42679.152000
16.917215,79.088671,42630.888000
16.917219,79.088667,42383.888000
16.917313,79.088723,42710.624000
16.917362,79.088790,42653.624000
16.917432,79.088851,42792.360000
16.917643,79.089025,42725.360000
16.917471,79.089679,42586.357000
16.917422,79.089614,42502.357000
16.917364,79.089555,42672.357000
16.917306,79.089503,42464.714000
16.917242,79.089448,42642.071000
16.917159,79.089403,42808.071000
16.917091,79.089357,42475.071000
16.916999,79.089321,42450.428000
16.916933,79.089215,42619.785000
16.916838,79.089170,42649.785000
16.916786,79.089093,42602.142000
16.916708,79.089030,42428.499000
16.916631,79.088970,42362.499000
16.916554,79.088924,42311.856000
16.916519,79.088796,42356.856000
16.916444,79.088720,42349.213000
16.916389,79.088663,42672.570000
16.916274,79.088549,42878.958000
16.916213,79.088488,42547.916000
16.916170,79.088414,42832.874000
16.916091,79.088360,42425.454000
16.916023,79.088308,42866.832000
16.915952,79.088257,42342.832000
16.915889,79.088202,42764.790000
16.915821,79.088160,42494.748000
16.915738,79.088082,42418.748000
16.915707,79.087996,42859.706000
16.915675,79.087913,42335.664000
16.915606,79.087800,42662.664000
16.915550,79.087697,42787.622000
16.915413,79.087616,42788.176000
16.915305,79.087537,42642.176000
16.915032,79.088110,42584.344000
16.915050,79.088229,42583.512000
16.915126,79.088338,42474.512000
16.915262,79.088431,42414.680000
16.915344,79.088482,42797.475000
16.915416,79.088583,42408.475000
16.915483,79.088652,42574.950000
16.915571,79.088760,42764.425000
16.915686,79.088886,42900.425000
16.915750,79.088931,42593.900000
16.915819,79.088975,42681.900000
16.915913,79.089015,42698.375000
16.915983,79.089065,42575.850000
16.916058,79.089117,42679.850000
16.916124,79.089143,42426.850000
16.916202,79.089183,42619.325000
16.916281,79.089222,42328.800000
16.916355,79.089237,42268.275000
16.916437,79.089331,42499.275000
16.916548,79.089405,42623.750000
16.916619,79.089439,42423.108000
16.916703,79.089538,42492.108000
16.916759,79.089617,42708.216000
16.916806,79.089729,42483.324000
16.916856,79.089781,42722.324000
16.916963,79.089884,42511.432000
16.917018,79.089941,42618.540000
16.917087,79.090001,42693.540000
16.917154,79.090051,42569.648000
16.917221,79.090089,42569.756000
16.917374,79.090248,42706.864000
16.916775,79.090478,42600.592000
16.916703,79.090393,42626.592000
16.916646,79.090349,42582.791000
16.916539,79.090302,42522.990000
16.916457,79.090262,42418.877000
16.916392,79.090223,42202.877000
16.916303,79.090175,42357.754000
16.916249,79.090101,42496.754000
16.916195,79.090061,42858.631000
16.916126,79.090001,42923.508000
16.916072,79.089957,42958.155000
16.916019,79.089910,42743.385000
16.915964,79.089854,42928.262000
16.915897,79.089800,42904.139000
16.915833,79.089737,42823.139000
16.915809,79.089687,42684.016000
16.915749,79.089614,42867.016000
16.915692,79.089554,42752.893000
16.915628,79.089512,42529.770000
16.915571,79.089460,42762.210000
16.915574,79.089459,42657.420000
16.915504,79.089369,42799.420000
16.915451,79.089305,42960.730000
16.915396,79.089242,42743.630000
16.915312,79.089184,42624.050000
16.915242,79.089136,42814.260000
16.915175,79.089070,42820.260000
16.915119,79.089004,42751.470000
16.915060,79.088947,42818.680000
16.914994,79.088886,42575.100000
16.914915,79.088821,42769.100000
16.914838,79.088749,42637.846000
16.914759,79.088672,42833.769000
16.914481,79.089167,42826.692000
16.914568,79.089245,42890.692000
16.914631,79.089303,42767.615000
16.914691,79.089367,42710.538000
16.914766,79.089441,42833.538000
16.914901,79.089596,42663.461000
16.914959,79.089653,42783.461000
16.915015,79.089723,42793.384000
16.915067,79.089791,42614.384000
16.915129,79.089866,42816.307000
16.915203,79.089933,42821.307000
16.915247,79.090002,42906.230000
16.915374,79.090082,42929.507000
16.915446,79.090170,42700.014000
16.915508,79.090233,42973.521000
16.915600,79.090315,42838.521000
16.915667,79.090390,42976.028000
16.915816,79.090484,42885.535000
16.915902,79.090566,42806.535000
16.915997,79.090630,42903.042000
16.916089,79.090694,42925.042000
16.916180,79.090768,43000.549000
16.916179,79.090770,42727.549000
16.916249,79.090814,42579.056000
16.916333,79.090872,42408.563000
16.916409,79.090933,42493.070000
16.916492,79.090988,42349.070000
16.916592,79.091083,42665.597000
16.916676,79.091173,42692.194000
16.916737,79.091238,42297.582000
16.916793,79.091292,42167.179000
16.916875,79.091367,42598.179000
16.916600,79.092066,42261.776000
16.916529,79.091987,42720.776000
16.916456,79.091953,42837.373000
16.916383,79.091860,42734.373000
16.916335,79.091807,42782.970000
16.916279,79.091734,42720.970000
16.916209,79.091693,42715.322000
16.916142,79.091643,42701.322000
16.916071,79.091601,42864.644000
16.916002,79.091524,42584.644000
16.915925,79.091464,42710.966000
16.915854,79.091414,42538.288000
16.915793,79.091360,42712.288000
16.915739,79.091296,42587.610000
16.915648,79.091169,42441.610000
16.915599,79.091121,42773.932000
16.915508,79.091084,42785.932000
16.915443,79.091039,42515.254000
16.915372,79.090978,42705.254000
16.915300,79.090924,42622.576000
16.915255,79.090835,42768.576000
16.915186,79.090784,42575.220000
16.915084,79.090728,42767.220000
16.914973,79.090694,42555.220000
16.914879,79.090609,42689.333000
16.914846,79.090506,42635.333000
16.914778,79.090454,42735.666000
16.914690,79.090383,42555.666000
16.914595,79.090322,42563.999000
16.914480,79.090184,42680.330000
16.914328,79.090074,42748.316000
16.914031,79.090661,42618.316000
16.914076,79.090752,42622.792000
16.914162,79.090826,42750.632000
16.914259,79.090883,42817.948000
16.914320,79.090954,42754.948000
16.914384,79.091018,42877.264000
16.914474,79.091088,42758.264000
16.914548,79.091140,42689.580000
16.914645,79.091173,42754.580000
16.914723,79.091198,42311.896000
16.914821,79.091229,42824.896000
16.914912,79.091295,42566.212000
16.915022,79.091349,42780.212000
16.915079,79.091478,42890.528000
16.915151,79.091554,42514.688000
16.915223,79.091660,42632.844000
16.915286,79.091737,42570.160000
16.915354,79.091818,42825.160000
16.915430,79.091889,42696.362000
16.915505,79.091974,42632.724000
16.915579,79.092103,42822.086000
16.915650,79.092183,42758.086000
16.915753,79.092279,42822.448000
16.915811,79.092358,42628.810000
16.915915,79.092444,42696.810000
16.915988,79.092517,42828.172000
16.916048,79.092560,42634.534000
16.916150,79.092646,42772.534000
16.916245,79.092747,42407.896000
16.916313,79.092805,42713.896000
16.916021,79.093463,42492.179000
16.915962,79.093402,42703.358000
16.915911,79.093340,42629.358000
16.915856,79.093288,42737.537000
16.915772,79.093241,42621.716000
16.915679,79.093214,42118.074000
16.915620,79.093094,42364.074000
16.915532,79.093008,42434.432000
16.915474,79.092942,42287.611000
16.915412,79.092849,42286.611000
16.915345,79.092783,42736.790000
16.915275,79.092711,42556.790000
16.915188,79.092650,42431.000000
16.915086,79.092573,42573.000000
16.915006,79.092513,42447.000000
16.914933,79.092443,42603.000000
16.914887,79.092378,42418.000000
16.914815,79.092318,42610.000000
16.914742,79.092217,42424.000000
16.914666,79.092144,42747.000000
16.914607,79.092034,42810.000000
16.914511,79.091941,42482.000000
16.914394,79.091854,42276.000000
16.914277,79.091786,42446.000000
16.914200,79.091740,42554.000000
16.914122,79.091712,42549.000000
16.914051,79.091644,42589.000000
16.913941,79.091537,42632.000000
16.913858,79.091436,42554.000000
16.913754,79.091312,42692.114000
16.913443,79.091977,42536.114000
